,rout,GAMMA,T_SPIN_COHERENCE,L,best_solutions_fitness,best_solution
115,<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,0.1,3000000.0,5.5088239909889e-90,[29 1 2 69.0636360151254]
159,<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,0.1,3000000.0,0.0003637230920917,[29 7 18 915.3417017775644]
203,<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,0.1,3000000.0,8140.557556777689,[29 8 36 858.1801970139464]
247,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179.586,0.1,3000000.0,57839.40046358552,[29 8 38 789.8663566271421]
291,<class 'key_rate_optimization.rgs_f_routine'>,62831853071795.86,0.1,3000000.0,99853.982230699,[29 8 38 783.0986746448409]
335,<class 'key_rate_optimization.rgs_f_routine'>,628318530717958.6,0.1,3000000.0,107385.74940101616,[29 8 38 782.4248972161495]
379,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179586.0,0.1,3000000.0,108199.05159731336,[29 8 38 782.3566593542326]
31,<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,1.0,3000000.0,0.0,
75,<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,1.0,3000000.0,1.1315896641828646e-138,[12 1 2 105.00632202548238]
119,<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,1.0,3000000.0,5.52241725832282e-90,[29 1 2 69.06362567544423]
163,<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,1.0,3000000.0,0.0003677493299579,[29 7 18 915.7836049574731]
207,<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,1.0,3000000.0,8141.391360270655,[29 8 36 858.1842129478063]
251,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179.586,1.0,3000000.0,57840.328953729295,[29 8 38 789.8664511144907]
295,<class 'key_rate_optimization.rgs_f_routine'>,62831853071795.86,1.0,3000000.0,99854.91912588217,[29 8 38 783.0969613326281]
339,<class 'key_rate_optimization.rgs_f_routine'>,628318530717958.6,1.0,3000000.0,107386.6870962462,[29 8 38 782.4228138287187]
383,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179586.0,1.0,3000000.0,108199.98939450971,[29 8 38 782.3541309702794]
35,<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,10.0,3000000.0,0.0,
79,<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,10.0,3000000.0,1.1368565648927143e-138,[12 1 2 105.00920308639522]
123,<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,10.0,3000000.0,5.5237791531917884e-90,[29 1 2 69.06362874463709]
167,<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,10.0,3000000.0,0.0003681525256929,[29 7 18 915.8278436908104]
211,<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,10.0,3000000.0,8141.474741544903,[29 8 36 858.18714463621]
255,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179.586,10.0,3000000.0,57840.42180504573,[29 8 38 789.8679866993817]
299,<class 'key_rate_optimization.rgs_f_routine'>,62831853071795.86,10.0,3000000.0,99855.01283195756,[29 8 38 783.0972038802115]
343,<class 'key_rate_optimization.rgs_f_routine'>,628318530717958.6,10.0,3000000.0,107386.78091248812,[29 8 38 782.4245317355092]
387,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179586.0,10.0,3000000.0,108200.08317893416,[29 8 38 782.3587872261785]
39,<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,100.0,3000000.0,0.0,
83,<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,100.0,3000000.0,0.0,
127,<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,100.0,3000000.0,5.523915368506309e-90,[29 1 2 69.06362476918353]
171,<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,100.0,3000000.0,0.0003681928510957,[29 7 18 915.8300767785587]
