rout,GAMMA,T_SPIN_COHERENCE,L,eta_d,p_dc,ep_depol,best_solutions_fitness,best_solution
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,0.95,3.162277660168379e-06,5e-05,48775.36039844509,[5 29 6 561.3605336613346]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,0.95,1e-05,5e-05,44121.7218757679,[5 29 6 564.196797352938]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,0.95,3.1622776601683795e-05,5e-05,30379.520995137897,[5 29 6 573.5997274344172]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,0.95,0.0001,5e-05,1.9120916479219317e-15,[1 1 29 24.099933733739253]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,0.96,1e-06,5e-05,64404.62900343417,[5 29 6 509.2905929331812]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,0.96,3.162277660168379e-06,5e-05,62811.74783443794,[5 29 6 510.1140675345775]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,0.96,1e-05,5e-05,57883.931792820746,[5 29 6 512.7353949734476]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,0.96,3.1622776601683795e-05,5e-05,43286.32183973266,[5 29 6 521.2398237324091]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,0.96,0.0001,5e-05,2.5421512628593272e-15,[1 1 29 24.256346319284294]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,0.97,1e-06,5e-05,79046.85328874047,[5 29 6 465.9262350005001]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,0.97,3.162277660168379e-06,5e-05,77381.55643115926,[5 29 6 466.67466219529865]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,0.97,1e-05,5e-05,72225.49337819214,[5 29 6 469.0463128431892]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,0.97,3.1622776601683795e-05,5e-05,56912.154838423485,[5 29 6 476.6228888787597]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,0.97,0.0001,5e-05,18043.3990226378,[4 29 6 484.60877125645555]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,0.98,1e-06,5e-05,94052.72534832524,[5 29 6 428.98273026588436]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,0.98,3.162277660168379e-06,5e-05,92326.70502706783,[5 29 6 429.6569986934607]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,0.98,1e-05,5e-05,86978.94427217093,[5 29 6 431.78658170131223]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,0.98,3.1622776601683795e-05,5e-05,71061.6480487808,[5 29 6 438.5123885935988]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,0.98,0.0001,5e-05,4.4589038931311175e-15,[1 1 29 24.61379676448581]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,0.99,1e-06,5e-05,110211.1956532221,[4 26 6 435.1699603342219]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,0.99,3.162277660168379e-06,5e-05,108609.13924437402,[4 25 6 448.46243102826816]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,0.99,1e-05,5e-05,102817.35244508974,[4 25 6 449.8673162865106]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,0.99,3.1622776601683795e-05,5e-05,86132.06029314821,[4 27 6 428.9555410876943]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,0.99,0.0001,5e-05,38733.98025318466,[4 29 7 492.93802669476605]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,0.95,1e-06,5e-05,3.2503523078446286e-18,[1 1 29 24.201889046655342]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,0.95,3.162277660168379e-06,5e-05,3.247823557457722e-18,[1 1 29 24.200580252187446]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,0.95,1e-05,5e-05,3.240146519688888e-18,[1 1 29 24.196422173966145]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,0.95,3.1622776601683795e-05,5e-05,3.218201492603843e-18,[1 1 29 24.18314985093153]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,0.95,0.0001,5e-05,3.1611575758185603e-18,[1 1 29 24.140651800711556]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,0.96,1e-06,5e-05,4.328814678480199e-18,[1 1 29 24.35494017971975]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,0.96,3.162277660168379e-06,5e-05,4.325401791335535e-18,[1 1 29 24.353611975299877]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,0.96,1e-05,5e-05,4.315031969657676e-18,[1 1 29 24.34939184007533]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,0.96,3.1622776601683795e-05,5e-05,4.285326769840104e-18,[1 1 29 24.33592070587797]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,0.96,0.0001,5e-05,4.20777554441721e-18,[1 1 29 24.292797237106086]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,0.97,1e-06,5e-05,5.749460358944431e-18,[1 1 29 24.52147598814254]
