rout,GAMMA,T_SPIN_COHERENCE,L,eta_d,p_dc,ep_depol,best_solutions_fitness,best_solution
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00017,2.2559985932035786e-15,[2 10 6 216.34342184416676]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.000175,0.009553666160407745,[2 19 6 600.1430588808543]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00017999999999999998,1.7096506797713667e-16,[1 1 29 25.12089695091397]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.000185,1.7070901535191644e-16,[1 1 29 25.12069584158693]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00019,1.7045409543762886e-16,[1 1 29 25.120495341730738]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.000195,0.005691671835689491,[2 21 6 568.8807904825948]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,5e-05,132086.70402546859,[4 24 6 427.56621770798455]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,6e-05,124921.89685827377,[4 24 6 428.89905700091555]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,7e-05,117987.852678733,[4 25 6 417.5141714410692]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,7.999999999999999e-05,111203.7592326045,[4 24 6 431.5195427448748]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,8.999999999999999e-05,105141.29182661355,[4 25 6 419.84321560015456]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.0001,99124.97583684303,[4 26 6 409.3954919624798]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.000105,95966.25528559249,[4 27 6 399.56253681224484]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00011,93175.96739824262,[4 27 6 400.02046737600364]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.000115,90453.82414078435,[4 26 6 410.92530777846326]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00012,87690.52651170193,[4 27 6 400.93066465991166]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.000125,84838.18474499868,[4 26 6 411.93579417956727]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00013000000000000002,82126.38310015625,[4 28 6 392.40034947425863]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.000135,73912.47117273959,[4 29 7 445.03907320863186]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00014,77077.6294902787,[4 27 6 402.73237743143966]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.000145,74552.00406355005,[4 28 6 393.6056774270081]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00015000000000000001,72079.27232756169,[4 28 6 394.0051812762792]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.000155,69631.6018265417,[4 28 6 394.4034846109498]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00015999999999999999,7.714367077426747e-15,[1 1 29 25.120388811265208]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.000165,7.702869578079443e-15,[1 1 29 25.120186630183756]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00017,62433.67382152426,[4 28 6 395.59448285172897]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.000175,60204.87312134427,[4 29 6 387.20638731814773]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00017999999999999998,7.66866773300788e-15,[1 1 29 25.11958276155214]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.000185,55711.3278416563,[4 29 6 387.91186108060094]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00019,7.64609722816303e-15,[1 1 29 25.119182576913893]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.000195,51301.0172443297,[4 29 6 388.6158640267596]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,1,0,5e-05,1.32873004727312e-17,[1 1 29 25.130560104765067]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,1,0,6e-05,1.3241406184041494e-17,[1 1 29 25.130139568735867]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,1,0,7e-05,1.3196551655812935e-17,[1 1 29 25.12972826093929]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,1,0,7.999999999999999e-05,1.3152588458020566e-17,[1 1 29 25.129323743716046]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,1,0,8.999999999999999e-05,1.3109405559861257e-17,[1 1 29 25.128925291350203]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.0001,1.3066916746053266e-17,[1 1 29 25.128532079806742]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.000105,1.3045910556229284e-17,[1 1 29 25.12833724236437]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.00011,1.3025053118124969e-17,[1 1 29 25.128143466242758]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.000115,1.3004337748400262e-17,[1 1 29 25.12795070940911]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.00012,1.2983758344559872e-17,[1 1 29 25.12775892017899]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.000125,1.2963309312313423e-17,[1 1 29 25.127568015019087]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.00013000000000000002,1.2942985504572293e-17,[1 1 29 25.12737798833884]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.000135,1.292278216983942e-17,[1 1 29 25.127189175207953]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.00014,1.2902694908246064e-17,[1 1 29 25.127000339323356]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.000145,1.288271963387437e-17,[1 1 29 25.12681261719924]
